CMDLINE /usr/local/opt/python/bin/python3.6 trainer.py
MEM 495.468750 1524080168.3690
MEM 495.468750 1524080168.4696
MEM 495.457031 1524080168.5706
MEM 495.468750 1524080168.6711
MEM 496.726562 1524080168.7756
MEM 494.082031 1524080168.8766
MEM 501.925781 1524080168.9790
MEM 501.363281 1524080169.0826
MEM 501.363281 1524080169.1835
MEM 501.363281 1524080169.2866
MEM 501.363281 1524080169.3904
MEM 501.363281 1524080169.4946
MEM 501.363281 1524080169.5987
MEM 501.363281 1524080169.6996
MEM 501.363281 1524080169.8008
MEM 501.351562 1524080169.9061
MEM 501.351562 1524080170.0075
MEM 501.351562 1524080170.1116
MEM 501.351562 1524080170.2136
MEM 501.351562 1524080170.3180
MEM 501.351562 1524080170.4200
MEM 501.351562 1524080170.5207
MEM 501.351562 1524080170.6231
MEM 501.351562 1524080170.7236
MEM 501.351562 1524080170.8282
MEM 501.523438 1524080170.9285
MEM 503.734375 1524080171.0317
MEM 496.476562 1524080171.1350
MEM 505.140625 1524080171.2388
MEM 504.437500 1524080171.3398
MEM 504.437500 1524080171.4434
MEM 504.437500 1524080171.5486
MEM 504.437500 1524080171.6537
MEM 504.437500 1524080171.7586
MEM 504.437500 1524080171.8589
MEM 504.437500 1524080171.9620
MEM 504.437500 1524080172.0646
MEM 499.636719 1524080172.1700
MEM 499.636719 1524080172.2747
MEM 499.636719 1524080172.3781
MEM 499.636719 1524080172.4803
MEM 499.636719 1524080172.5857
MEM 499.636719 1524080172.6888
MEM 499.636719 1524080172.7941
MEM 499.636719 1524080172.8987
MEM 499.636719 1524080173.0040
MEM 499.636719 1524080173.1088
MEM 499.777344 1524080173.2133
MEM 501.347656 1524080173.3159
MEM 495.187500 1524080173.4174
MEM 505.781250 1524080173.5230
MEM 505.218750 1524080173.6246
MEM 505.218750 1524080173.7261
MEM 505.218750 1524080173.8281
MEM 505.218750 1524080173.9286
MEM 505.218750 1524080174.0326
MEM 505.218750 1524080174.1330
MEM 505.218750 1524080174.2332
MEM 505.218750 1524080174.3336
MEM 505.089844 1524080174.4389
MEM 505.089844 1524080174.5408
MEM 505.089844 1524080174.6413
MEM 505.089844 1524080174.7446
MEM 505.089844 1524080174.8488
MEM 505.089844 1524080174.9525
MEM 505.089844 1524080175.0555
MEM 505.089844 1524080175.1609
MEM 505.089844 1524080175.2663
MEM 505.089844 1524080175.3705
MEM 505.941406 1524080175.4738
MEM 502.113281 1524080175.5789
MEM 495.031250 1524080175.6798
MEM 508.777344 1524080175.7850
MEM 508.214844 1524080175.8864
MEM 508.214844 1524080175.9910
MEM 508.214844 1524080176.0923
MEM 508.214844 1524080176.1942
MEM 508.214844 1524080176.2955
MEM 508.214844 1524080176.4007
MEM 508.214844 1524080176.5017
MEM 503.410156 1524080176.6028
MEM 503.410156 1524080176.7083
MEM 503.410156 1524080176.8124
MEM 503.410156 1524080176.9165
MEM 503.410156 1524080177.0178
MEM 503.410156 1524080177.1195
MEM 503.410156 1524080177.2249
MEM 503.410156 1524080177.3268
MEM 503.410156 1524080177.4289
MEM 503.410156 1524080177.5321
MEM 503.687500 1524080177.6324
